cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	0.0836527	0.108735	3.97031	2.03794	0.513296	-1.80413	0.183398	3.83691	1.97532	0.51482	0.00156425	1.78186	0.514045	0.000347311	0.000383361
20001	0.184014	0.156608	3.95558	1.92094	0.485629	-1.73846	0.253178	4.07304	1.90759	0.468345	0.00252325	1.84796	0.476861	0.000608897	0.00062646
20002	0.123687	0.140174	4.35513	1.99884	0.458962	-1.80866	0.246289	3.78797	1.92509	0.508212	0.00301565	1.86698	0.481872	0.000717258	0.000899053
20003	0.102997	0.124776	4.06565	1.92349	0.473106	-1.67395	0.376363	4.06171	1.97679	0.48669	0.0200459	1.57877	0.479895	0.00404275	0.00115633
20004	-0.0384121	0.0353975	4.14412	1.89432	0.45711	-1.72856	0.341531	4.00593	1.82545	0.455686	0.0328072	1.42831	0.45641	0.0062623	0.00140652
20005	-0.0235282	0.0736187	3.9495	1.91376	0.484558	-1.58373	0.384549	3.58893	1.79037	0.498858	0.0397158	1.21712	0.491366	0.0064859	0.00165975
20006	0.0314672	-0.0185788	4.11115	2.00034	0.486565	-1.70922	0.297268	3.93649	1.84876	0.469647	0.032924	1.51499	0.47829	0.00644087	0.00188067
20007	-0.0194728	-0.0480938	3.80817	1.85125	0.486126	-1.67713	0.324985	3.78057	1.89636	0.501608	0.0506535	1.37392	0.493838	0.00920426	0.00213472
20008	-0.162112	-0.0904889	3.78206	1.86535	0.493211	-1.59788	0.434909	4.04924	1.91028	0.471762	0.133909	1.03071	0.482121	0.0179586	0.00242013
20009	-0.310291	-0.300822	3.71587	1.86204	0.501106	-1.58666	0.419149	4.1244	1.91696	0.464785	0.318184	0.814558	0.481999	0.0331711	0.00267899
20010	-0.287305	-0.32083	3.77513	1.78586	0.473059	-1.6376	0.441878	4.03783	2.03894	0.50496	0.319051	0.911647	0.489546	0.036648	0.00298245
20011	-0.298553	-0.344507	4.05878	1.87456	0.461852	-1.5034	0.442508	4.13652	1.94152	0.46936	0.426681	0.725825	0.465642	0.0390142	0.00326753
20012	-0.133543	-0.270466	3.93222	1.86951	0.475434	-1.42817	0.589898	3.98283	2.00913	0.504449	0.441644	0.838035	0.490034	0.0455607	0.00357213
20013	-0.300159	-0.270293	3.91655	1.86136	0.475255	-1.16199	0.692244	3.80638	1.99438	0.523956	1.24735	0.371377	0.499258	0.056694	0.0037336
20014	-0.323992	-0.272891	3.84166	1.78008	0.463361	-1.29693	0.749163	3.72001	1.91472	0.51471	1.10351	0.473305	0.488623	0.066045	0.00401289
20015	-0.192834	-0.24406	4.11333	1.91699	0.466044	-1.17806	0.833129	3.90961	1.94169	0.496646	1.19539	0.485337	0.480956	0.0699532	0.0042682
20016	-0.179739	-0.226053	3.90008	1.96159	0.502962	-1.07033	0.865957	3.88898	1.83524	0.471907	1.50346	0.396579	0.487457	0.072836	0.00451642
20017	-0.295153	-0.302761	3.65722	1.8524	0.506505	-1.07379	0.859324	3.96349	1.90667	0.481057	2.22743	0.303138	0.49327	0.0824485	0.0048542
20018	-0.375566	-0.322405	3.7983	1.78693	0.470456	-1.08066	0.887381	3.67277	1.71897	0.46803	2.94387	0.248581	0.469263	0.0945457	0.00515874
20019	-0.323081	-0.3263	3.83749	1.899	0.494853	-1.15831	0.889244	4.25525	1.93311	0.454288	2.11801	0.348805	0.473524	0.0879581	0.00547401
20020	-0.311949	-0.376156	3.67821	1.99877	0.543407	-1.20071	0.893276	4.2343	2.00991	0.474673	2.0401	0.394947	0.506625	0.0913623	0.00564279
20021	-0.227024	-0.295338	4.12179	1.97303	0.478683	-1.06684	0.974363	3.79781	1.85124	0.487448	2.28579	0.352645	0.482886	0.0953841	0.00581246
20022	-0.301889	-0.280405	3.6412	1.94635	0.534535	-1.0362	1.01052	3.75615	1.84795	0.491978	3.09063	0.269605	0.512926	0.0989839	0.00601986
20023	-0.326246	-0.272464	4.26932	2.14857	0.503258	-0.851751	1.0915	3.99099	1.85184	0.464005	6.73675	0.138078	0.484293	0.1042	0.00628247
20024	-0.246057	-0.322922	4.28144	2.0558	0.480165	-0.861595	1.15903	3.89793	1.86436	0.478294	5.79641	0.189443	0.479274	0.122905	0.00643386
20025	-0.240375	-0.308999	3.94822	1.99095	0.504265	-0.872188	1.1698	3.97778	1.92275	0.483373	5.47824	0.199594	0.49378	0.122623	0.00666524
20026	-0.372733	-0.322126	3.66621	1.80002	0.490975	-0.731653	1.28723	3.84073	1.86503	0.485593	20.1053	0.0644118	0.488222	0.150209	0.0068227
20027	-0.272746	-0.192472	3.95889	1.84284	0.465495	-0.662413	1.32732	3.8395	1.81288	0.472164	15.2118	0.0759202	0.468779	0.136468	0.00720975
20028	-0.257388	-0.274694	3.84929	1.80484	0.468876	-0.651122	1.37357	3.76506	1.8957	0.503497	17.5247	0.0775132	0.485995	0.155143	0.00767449
20029	-0.342429	-0.312275	3.93388	1.87419	0.476422	-0.576146	1.4104	3.74937	1.70381	0.454426	54.3285	0.0273118	0.465688	0.171812	0.00788611
20030	-0.302195	-0.338782	4.06634	1.87445	0.460968	-0.579951	1.41528	3.76808	1.76973	0.469665	39.881	0.0385741	0.465151	0.174357	0.00813181
20031	-0.314849	-0.332985	3.962	1.85548	0.468318	-0.643265	1.37306	3.9287	2.01792	0.513635	26.9857	0.0539287	0.490881	0.158216	0.00832585
20032	-0.320267	-0.349967	3.60126	1.84123	0.511275	-0.625624	1.39181	4.09889	1.98569	0.484446	32.5365	0.0466215	0.496994	0.165475	0.00857984
20033	-0.2941	-0.29235	3.98918	1.90885	0.478506	-0.728546	1.30011	4.17804	2.04192	0.488728	13.4358	0.0943719	0.483735	0.13834	0.00884051
20034	-0.294391	-0.280075	3.93774	1.86868	0.474556	-0.668779	1.3396	4.22721	2.09763	0.49622	18.716	0.0700829	0.485772	0.141951	0.00914172
20035	-0.27981	-0.25602	4.03128	2.05769	0.510431	-0.659023	1.34659	3.92651	2.06315	0.525441	17.8604	0.0719012	0.517838	0.134868	0.00938872
20036	-0.21632	-0.261212	4.02077	1.95827	0.487039	-0.614593	1.41151	3.95414	2.10261	0.531749	17.6394	0.0793106	0.509208	0.147004	0.00969014
20037	-0.180779	-0.212469	3.9251	1.97436	0.503008	-0.491816	1.47409	3.9401	1.95564	0.496344	29.4024	0.0483719	0.49967	0.153287	0.00982656
20038	-0.196576	-0.175756	4.01586	2.0087	0.500191	-0.311768	1.57203	3.75701	1.9642	0.52281	230.213	0.00663463	0.511124	0.1613	0.010182
20039	-0.108303	-0.169724	4.21252	1.87557	0.445237	-0.485492	1.59406	4.16314	1.98738	0.477376	21.8662	0.0711356	0.461212	0.167659	0.0105007
20040	-0.151102	-0.159632	3.97435	1.92411	0.484131	-0.323208	1.65794	3.89994	1.98405	0.508738	111.529	0.0148102	0.496318	0.174529	0.0108451
20041	-0.122906	-0.18357	3.83478	1.78766	0.466171	-0.322104	1.69967	3.90289	1.85628	0.475617	89.3813	0.0198397	0.470936	0.195781	0.010918
20042	-0.146512	-0.155234	3.69294	1.82204	0.493384	-0.364895	1.64946	3.67411	1.79583	0.48878	68.2919	0.0238456	0.491088	0.183788	0.0113115
20043	-0.221792	-0.213629	3.65166	1.83013	0.501176	-0.328995	1.71843	3.88161	1.84203	0.474553	324.804	0.00574629	0.487458	0.202716	0.0114501
20044	-0.196547	-0.22144	3.65355	1.84039	0.503727	-0.224472	1.78834	3.88392	1.82744	0.470514	5179.82	0.0003899	0.486613	0.215964	0.0117972
20045	-0.20024	-0.145981	3.90321	1.90048	0.4869	-0.219243	1.8199	3.68011	1.78365	0.484672	10702.1	0.000180558	0.485819	0.207849	0.0119503
20046	-0.174721	-0.17869	3.83783	1.81234	0.47223	0.0543651	1.92831	3.90504	1.84587	0.472689	84.5929	0.0262402	0.472462	0.23286	0.0119507
20047	-0.0946619	-0.16466	4.21618	2.02375	0.479996	-0.0911832	1.91444	3.76642	1.8615	0.494236	357202.0	6.0507e-06	0.486715	0.217701	0.0122655
20048	-0.187362	-0.185148	3.92562	1.88219	0.479464	-0.061984	1.92215	3.85634	1.90087	0.492922	282.493	0.00785987	0.486133	0.226968	0.0124212
20049	-0.232967	-0.19428	4.22808	1.88359	0.445494	-0.0513378	1.95719	4.28904	2.13342	0.497412	140.314	0.0164946	0.471639	0.223736	0.0127908
20050	-0.374246	-0.376099	3.82633	1.84333	0.481749	-0.16682	1.8377	3.94056	1.98171	0.502901	113.907	0.0215128	0.492481	0.242699	0.0131516
20051	-0.431388	-0.360487	4.32374	1.99474	0.461347	-0.143845	1.8462	3.83194	1.90607	0.497417	58.8947	0.0413405	0.478294	0.237943	0.0133595
20052	-0.298716	-0.302252	3.9735	2.0667	0.52012	-0.149266	1.82955	4.25131	1.99357	0.468931	203.47	0.0111677	0.493661	0.218726	0.0136409
20053	-0.381167	-0.373036	3.85702	1.90931	0.495023	-0.162627	1.87372	3.69644	1.8739	0.506948	105.694	0.0238798	0.500859	0.250228	0.0140971
20054	-0.248176	-0.272827	3.75843	1.79826	0.478461	-0.155282	1.85116	3.9652	2.00012	0.504418	522.79	0.00431464	0.491787	0.229032	0.0142998
20055	-0.201549	-0.222161	3.69602	1.72266	0.466086	-0.192641	1.85663	3.7475	1.98639	0.530058	54457.5	3.96764e-05	0.498293	0.225657	0.0142817
20056	-0.210219	-0.229804	3.98949	1.88939	0.473591	-0.154988	1.85912	3.77771	1.80504	0.477815	1430.47	0.00152523	0.475645	0.228055	0.0145917
20057	-0.115414	-0.200028	3.80637	1.8783	0.493463	-0.0731717	1.87476	3.79778	1.8218	0.479702	2412.41	0.000892206	0.48659	0.225405	0.0149102
20058	-0.122592	-0.129235	4.04458	1.95371	0.483043	-0.189071	1.85554	4.21111	1.93276	0.458966	891.342	0.00220977	0.470761	0.202251	0.0153168
20059	-0.152393	-0.153735	3.63769	1.8379	0.505237	-0.126107	1.84922	3.9192	1.88584	0.481181	5806.19	0.000345477	0.492761	0.212273	0.0157637
20060	-0.0976459	-0.12099	4.19761	1.96187	0.467377	-0.0604593	1.91909	3.92248	1.87765	0.47869	3009.69	0.000691423	0.472842	0.213298	0.0161087
20061	-0.228901	-0.161684	3.98092	1.94111	0.487604	0.0257062	2.01529	4.09421	1.99053	0.486181	73.1086	0.0324123	0.486883	0.231658	0.0162047
20062	-0.192753	-0.154404	3.78739	1.86445	0.492278	0.121003	2.0847	3.92519	2.0727	0.52805	50.9289	0.0492216	0.510484	0.241569	0.0164326
20063	-0.144377	-0.140958	4.13039	2.04077	0.494085	0.0701461	2.08126	4.09617	2.18232	0.532772	107.307	0.02301	0.513348	0.226296	0.0167547
20064	-0.204826	-0.141538	3.87128	1.96731	0.508182	0.119745	2.08122	3.82195	1.75811	0.460004	46.8992	0.0526729	0.484248	0.249088	0.017134
20065	-0.178968	-0.142421	3.83787	1.90176	0.495525	0.0631136	2.01916	3.80426	1.9137	0.503042	79.7296	0.0293016	0.499267	0.234481	0.0172269
20066	-0.0792791	-0.0512749	3.85871	1.77942	0.461145	-0.0265637	2.03915	3.90032	1.88106	0.482283	1572.52	0.00138946	0.47177	0.22994	0.0174809
20067	0.0191856	-0.0204359	4.1482	1.94354	0.468527	0.0580782	2.0872	3.97312	1.86182	0.468605	2936.69	0.000756316	0.468565	0.225994	0.0175106
20068	-0.0542927	-0.0126895	3.92691	1.98705	0.506009	0.110171	2.1239	3.83557	1.85302	0.483116	168.773	0.0135242	0.494697	0.229195	0.0176525
20069	-0.115446	-0.08206	4.00069	2.04451	0.51104	0.10694	2.12894	4.0532	1.88286	0.464537	98.8464	0.0247278	0.487637	0.23742	0.017673
20070	-0.0275427	-0.0383463	4.18557	2.19186	0.523672	0.178444	2.18564	3.80843	1.78716	0.469264	116.57	0.0212152	0.497751	0.237176	0.0180613
20071	0.0233594	-0.0140136	4.06415	2.08115	0.512075	0.231528	2.24772	3.79307	1.83261	0.483148	118.047	0.021667	0.49811	0.246377	0.0184299
