cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	0.254125	0.22586	4.04804	1.98127	0.489439	4.12067	0.165984	3.73006	1.89793	0.50882	0.000239807	7.47508	0.498733	0.000231113	0.000417052
20001	0.168935	0.219713	3.90968	2.07614	0.531024	4.16357	0.137575	3.93208	1.88567	0.47956	0.0004228	7.97855	0.505218	0.000425763	0.00064994
20002	0.160895	0.189433	3.91796	2.0269	0.517337	4.20687	0.126819	3.94217	1.89804	0.481471	0.000239493	8.18496	0.499349	0.000249778	0.000945321
20003	0.272614	0.218462	4.006	2.0625	0.514854	4.02849	0.0124981	3.77905	1.87182	0.495315	0.00300719	7.05332	0.505369	0.00268969	0.00118857
20004	0.111073	0.142798	4.0458	2.09728	0.518384	3.97509	-0.0109098	4.08036	1.99062	0.487855	0.00158238	7.46532	0.503055	0.00144351	0.00146359
20005	0.268528	0.230413	4.10537	2.1549	0.524898	3.90998	-0.051316	4.07337	1.93666	0.475443	0.00598571	6.63007	0.500267	0.0048287	0.00174202
20006	0.175584	0.145467	3.83565	2.01081	0.524242	3.91815	-0.05867	3.84838	1.98192	0.515	0.00297513	7.00339	0.519614	0.00260375	0.0019549
20007	0.106838	0.0958336	3.76165	2.07027	0.550362	3.75839	-0.182566	4.11306	2.12746	0.517245	0.00581276	6.66692	0.533065	0.00459705	0.00221217
20008	0.205847	0.219116	3.71013	2.0795	0.560492	3.86532	-0.193745	4.29075	2.0047	0.467216	0.0127283	6.69587	0.510469	0.0103311	0.00239984
20009	0.196129	0.122953	4.09381	1.99937	0.488389	3.66604	-0.293955	3.87272	2.03465	0.525379	0.0144358	6.02015	0.506371	0.0106621	0.00265301
20010	0.333645	0.218901	3.94562	1.97855	0.501455	3.64099	-0.35543	4.12676	2.10913	0.511086	0.0301555	5.46927	0.506379	0.0197846	0.00282587
20011	0.26077	0.259129	4.10735	1.992	0.484985	3.62122	-0.388654	4.05578	2.18272	0.538174	0.0371591	5.64631	0.511411	0.0245248	0.00312741
20012	0.306	0.272092	4.0313	2.05063	0.508678	3.63128	-0.307965	4.15176	2.0063	0.483241	0.0304288	5.52873	0.495772	0.0203228	0.00332872
20013	0.230388	0.237626	3.92719	1.91032	0.486434	3.70718	-0.327569	3.79261	1.94447	0.512701	0.0264265	6.04404	0.499338	0.0203069	0.00353128
20014	0.163454	0.189603	4.017	2.01401	0.501371	3.58288	-0.363752	3.9214	1.97985	0.504883	0.026188	5.84623	0.503106	0.0188158	0.00381291
20015	0.0984691	0.147523	4.2216	2.03374	0.481746	3.60683	-0.358723	3.9132	2.04328	0.522152	0.0208216	6.15432	0.501183	0.0154797	0.00397461
20016	0.124319	0.128082	4.2686	2.02394	0.474145	3.5777	-0.403064	4.35468	2.09675	0.481494	0.0236557	5.96294	0.477856	0.0168361	0.00410462
20017	0.143862	0.162015	3.995	2.04264	0.5113	3.43982	-0.500714	3.88842	1.94605	0.500472	0.0404305	5.43167	0.505959	0.026804	0.00440189
20018	0.192692	0.169123	4.01532	2.09439	0.521598	3.39726	-0.590932	4.00354	1.90459	0.475726	0.0562536	5.13463	0.498696	0.0348725	0.00472182
20019	0.106022	0.180363	3.9831	2.11121	0.530043	3.48799	-0.52668	3.98067	2.0216	0.507854	0.0437071	5.71886	0.518952	0.0293669	0.00500036
20020	0.211222	0.256941	4.02884	1.9785	0.491084	3.4853	-0.570324	4.19644	2.001	0.476832	0.0638427	5.35979	0.483813	0.0412408	0.00526192
20021	0.33294	0.27914	3.93548	1.97343	0.501447	3.33207	-0.713057	4.04347	2.00674	0.496292	0.109447	4.4974	0.498834	0.0582614	0.00553816
20022	0.26079	0.279807	3.93681	1.92607	0.489246	3.16877	-0.818642	3.76296	1.90941	0.507423	0.142685	4.22817	0.498129	0.0729461	0.00582957
20023	0.227159	0.249897	3.86708	1.87923	0.485955	3.21372	-0.79423	3.90786	1.99164	0.509651	0.122226	4.45978	0.497865	0.0658098	0.0061837
20024	0.152802	0.291255	4.15026	1.91619	0.461704	3.08005	-0.860738	4.12086	1.98295	0.481197	0.154875	4.28439	0.471416	0.0784524	0.0064129
20025	0.252219	0.260897	3.90343	1.90978	0.489257	3.05919	-0.886049	4.10685	2.05906	0.501373	0.16696	3.93953	0.495469	0.0765577	0.00663217
20026	0.209638	0.212977	3.82303	1.8197	0.475984	3.06035	-0.947587	4.1058	2.01768	0.491421	0.165742	4.06327	0.483978	0.0807076	0.00698977
20027	0.23977	0.22032	3.95625	1.89894	0.479984	3.03278	-0.945752	3.92054	1.95114	0.497672	0.174303	3.90046	0.488788	0.0811663	0.0072035
20028	0.0880232	0.197548	3.89976	1.81521	0.465467	3.05981	-0.976352	4.01346	1.92667	0.480053	0.156036	4.41577	0.472865	0.0843454	0.00751872
20029	0.218234	0.243649	3.56392	1.82057	0.510834	2.8338	-1.09933	3.63329	1.87612	0.516369	0.263639	3.42059	0.513628	0.108762	0.00765095
20030	0.225183	0.271468	3.78854	1.92997	0.509424	2.85821	-1.13938	4.13233	1.93857	0.469124	0.28711	3.46642	0.488399	0.114023	0.00785281
20031	0.242771	0.308184	3.98335	1.93575	0.48596	2.95804	-1.09754	3.89258	1.93815	0.497909	0.268024	3.68634	0.491865	0.113151	0.00824775
20032	0.136279	0.174763	4.33724	1.97593	0.455573	2.86618	-1.20798	3.63634	1.86893	0.513959	0.256558	3.72619	0.4822	0.110623	0.00845696
20033	0.162446	0.151909	4.28843	1.99339	0.46483	2.7626	-1.23607	4.03968	1.83578	0.454436	0.28495	3.38041	0.459788	0.111775	0.00879114
20034	0.135172	0.16701	4.09118	1.93515	0.473006	2.83258	-1.19907	3.77759	1.86923	0.494822	0.256482	3.638	0.483479	0.109285	0.0090089
20035	0.0202085	0.112627	4.19523	2.02783	0.483366	2.70118	-1.28412	3.69488	1.91657	0.51871	0.271424	3.5938	0.499917	0.110092	0.00937398
20036	-0.00166588	0.00430393	4.15571	1.9798	0.476403	2.6272	-1.37893	3.8737	1.97303	0.50934	0.276856	3.45546	0.492293	0.107996	0.0098524
20037	0.100606	0.0737078	3.96353	2.05404	0.518235	2.65934	-1.35603	4.05002	1.99701	0.493088	0.312221	3.27355	0.505526	0.112068	0.0100195
20038	-0.0492915	-0.0207289	4.32176	2.07744	0.480693	2.6045	-1.40073	3.86547	1.90327	0.492377	0.270411	3.52131	0.48621	0.106873	0.0102677
20039	-0.110889	-0.117389	4.12616	2.22162	0.538423	2.51999	-1.40901	4.11369	1.98702	0.483026	0.241026	3.46077	0.510766	0.0902043	0.0103054
20040	-0.196068	-0.124469	4.03184	2.11927	0.525634	2.63083	-1.36954	3.90185	1.95831	0.501894	0.193984	3.99568	0.513958	0.0868341	0.0106563
20041	-0.153421	-0.118668	3.78416	1.99028	0.525949	2.54928	-1.38925	4.18996	2.0653	0.492915	0.221008	3.65228	0.508591	0.0905497	0.0108098
20042	-0.0796077	-0.135237	4.21891	1.97627	0.468432	2.54205	-1.43292	4.03069	2.00533	0.497515	0.24501	3.43654	0.482642	0.095667	0.0113549
20043	-0.144659	-0.0996348	3.92542	1.94948	0.496631	2.54755	-1.44609	3.86311	2.04428	0.52918	0.250129	3.624	0.512775	0.101965	0.011449
20044	-0.0275545	-0.0654229	4.15362	1.78145	0.428891	2.50649	-1.50273	4.11385	1.89427	0.460461	0.321716	3.21069	0.4446	0.123251	0.0115969
20045	-0.0188831	-0.0492389	4.14381	1.90846	0.460558	2.52139	-1.44936	4.00302	1.92179	0.480085	0.303789	3.2265	0.470153	0.113488	0.0116812
